Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F
"3","Albania","1310","Chlorinated Hydrocarbons","5161","Use","tonnes of active ingredients",,,,,,,"10.000000","Q","17.000000","Q","22.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1311","Organo-Phosphates","5161","Use","tonnes of active ingredients",,,,,,,"30.000000","Q","50.000000","Q","64.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1312","Carbamates Insecticides","5161","Use","tonnes of active ingredients",,,,,,,"14.000000","Q","26.000000","Q","30.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1313","Pyrethroids","5161","Use","tonnes of active ingredients",,,,,,,"1.000000","Q","2.000000","Q","2.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1315","Other Insecticides","5161","Use","tonnes of active ingredients",,,,,,,"15.000000","Q","22.000000","Q","27.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1321","Phenoxy Hormone Products","5161","Use","tonnes of active ingredients",,,,,,,"1.700000","Q","2.000000","Q","2.100000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1322","Triazines","5161","Use","tonnes of active ingredients",,,,,,,"0.500000","Q","0.700000","Q","0.900000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1323","Amides","5161","Use","tonnes of active ingredients",,,,,,,"0.500000","Q","0.800000","Q","1.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1324","Carbamates Herbicides","5161","Use","tonnes of active ingredients",,,,,,,"0.100000","Q","0.200000","Q","0.400000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1325","Dinitroanilines","5161","Use","tonnes of active ingredients",,,,,,,"0.200000","Q","0.300000","Q","0.300000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1328","Sulfonyl Ureas","5161","Use","tonnes of active ingredients",,,,,,,"0.700000","Q","1.000000","Q","1.100000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1329","Bipiridils","5161","Use","tonnes of active ingredients",,,,,,,"0.200000","Q","0.300000","Q","0.300000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1327","Other Herbicides","5161","Use","tonnes of active ingredients",,,,,,,"1.100000","Q","1.700000","Q","1.900000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1332","Inorganics","5161","Use","tonnes of active ingredients",,,,,,,"18.000000","Q","32.000000","Q","41.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1333","Dithiocarbamates","5161","Use","tonnes of active ingredients",,,,,,,"9.000000","Q","15.000000","Q","19.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1334","Benzimidazoles","5161","Use","tonnes of active ingredients",,,,,,,"1.000000","Q","2.000000","Q","3.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1335","Triazoles, Diazoles","5161","Use","tonnes of active ingredients",,,,,,,"1.000000","Q","1.000000","Q","2.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1337","Other Fungicides","5161","Use","tonnes of active ingredients",,,,,,,"15.000000","Q","24.000000","Q","29.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1346","Anticoagulants","5161","Use","tonnes of active ingredients",,,,,,,"1.900000","Q","2.900000","Q","4.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1347","Other Rodenticides","5161","Use","tonnes of active ingredients",,,,,,,"0.100000","Q","0.100000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1357","Pesticides (total)","5161","Use","tonnes of active ingredients",,,,,,,"121.000000","A","201.000000","A","251.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1309","Insecticides","5161","Use","tonnes of active ingredients",,,,,,,"70.000000","Q","117.000000","Q","145.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1320","Herbicides","5161","Use","tonnes of active ingredients",,,,,,,"5.000000","Q","7.000000","Q","8.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1331","Fungicides&Bactericides","5161","Use","tonnes of active ingredients",,,,,,,"44.000000","Q","74.000000","Q","94.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1345","Rodenticides","5161","Use","tonnes of active ingredients",,,,,,,"2.000000","Q","3.000000","Q","4.000000","Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","1341","Plant Growth Regulators","5161","Use","tonnes of active ingredients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3652.890000","Q","4023.040000","Q","4810.520000","Q","6176.190000","Q","14411.280000","Q","4060.260000","Q","680.680000","Q","17020.000000","Q","21716.000000","Q","22000.000000","Q","17934.000000","Q",,
