POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG
NE,25,17,39,43,7.98,7.37,21.5,776.0,1.7,182.0,571.0,14.7,,31035,34.68497,32.69123
NE,28,25,41,34,8.26,7.54,26.7,611.0,1.6,5.0,148.0,23.4,,31044,34.68909,32.89669
NE,19,30,48,22,8.22,7.48,28.5,588.0,2.7,5.0,249.0,28.2,,31034,34.69027,32.67023
NE,20,23,50,27,8.34,7.47,19.6,655.0,1.1,5.0,299.0,18.2,,31036,34.70906,32.74421
NE,17,29,39,32,8.06,7.46,18.3,499.0,1.3,15.0,225.0,23.4,,31021,34.71142,32.58621
NE,23,32,40,28,8.14,7.52,22.5,528.0,1.4,97.0,765.0,21.4,,31049,34.71305,32.94976
NE,24,27,49,23,8.1,7.45,24.0,621.0,1.2,5.0,234.0,22.0,,31045,34.72376,32.90777
NE,37,29,43,28,8.18,7.53,36.6,401.0,2.0,5.0,535.0,33.4,,31048,34.73038,32.95531
NE,34,18,33,48,8.45,7.56,17.1,806.0,0.6,5.0,104.0,11.4,,31042,34.73312,32.79724
NE,23,24,40,36,8.31,7.45,16.5,679.0,1.2,5.0,159.0,15.9,,31033,34.73703,32.70771
NE,25,30,59,10,8.16,7.5,33.1,86.0,3.3,5.0,1016.0,50.0,,31051,34.73816,33.07142
NE,19,34,37,30,8.15,7.4,25.5,97.0,2.6,5.0,354.0,36.0,,31030,34.73933,32.54965
NE,21,26,53,20,8.08,7.43,21.8,642.0,1.5,19.0,138.0,22.9,,31098,34.74139,33.27712
NE,35,16,27,57,7.94,7.42,34.9,140.0,2.7,11.0,1579.0,68.5,,31052,34.75661,33.14559
NE,34,30,48,22,7.73,7.3,60.4,592.0,5.9,13.0,237.0,36.0,,31020,34.76499,32.67118
NE,21,29,48,23,7.92,7.65,21.3,506.0,1.4,5.0,118.0,23.8,,31083,34.76511,33.33037
NE,16,20,42,39,8.24,7.48,20.7,687.0,1.2,5.0,128.0,17.9,,31041,34.76642,32.73973
NE,26,26,40,33,8.32,7.57,18.2,727.0,1.2,5.0,114.0,15.2,,31047,34.77041,32.94543
NE,14,21,38,41,8.54,7.68,11.2,500.0,0.7,5.0,590.0,23.2,,31097,34.7715,33.378
NE,29,28,47,25,8.38,7.56,14.6,601.0,0.8,5.0,194.0,14.4,,31084,34.776,33.2884
NE,31,24,40,35,8.17,7.5,36.0,686.0,2.5,11.0,206.0,20.3,,31050,34.77701,32.99301
NE,28,34,32,33,8.23,7.46,6.0,190.0,0.9,5.0,358.0,28.1,,31103,34.78459,32.51852
NE,18,26,46,28,8.39,7.55,16.7,697.0,1.1,11.0,156.0,18.2,,31082,34.78786,33.31504
