KoordID;Kanton;Year;Crop;Crop_Category;Label;Altitude;Area_ha;Yield_dt_ha;Use;Source
ID31;AG;2015;Barley;Cereals;Extenso;484;0.56;NA;NA;Farmer
ID10;VD;2014;Barley;Cereals;Extenso;439;2.3;90;NA;Farmer
ID31;AG;2015;Barley;Cereals;Extenso;486;0.56;NA;NA;Farmer
ID41;TG;2014;Barley;Cereals;Conv;476;1.9;100;NA;Farmer
ID18;BE;2013;Barley;Cereals;Conv;603;1.83;90;NA;Farmer
ID49;SG;2015;Barley;Cereals;Bio;417;0.8;60;NA;Farmer
ID39;AG;2013;Barley;Cereals;Conv;386;2.05;90;NA;Farmer
ID37;AG;2013;Barley;Cereals;Conv;366;0.9;80;NA;Farmer
ID37;AG;2013;Barley;Cereals;Conv;398;1.82;62;NA;Farmer
ID15;FR;2014;Barley;Cereals;Conv;705;2.2;61.7;NA;Farmer
ID4;VD;2013;Barley;Cereals;Extenso;808;1.04;52;NA;Farmer
ID41;TG;2013;Barley;Cereals;Conv;473;1.65;98;NA;Farmer
ID32;LU;2013;Barley;Cereals;Conv;686;1;64;NA;Farmer
ID2;VD;2014;Barley;Cereals;Conv;526;1.6;80;NA;Farmer
ID46;TG;2012;Barley;Cereals;Conv;477;2.42;NA;NA;Farmer
ID41;TG;2012;Barley;Cereals;Conv;478;1.93;NA;NA;Farmer
ID21;BE;2012;Barley;Cereals;Extenso;699;2.8;85;NA;Farmer
ID10;VD;2013;Barley;Cereals;Conv;439;2.54;107;NA;Farmer
ID22;BE;2014;Barley;Cereals;Conv;526;2.45;89;NA;Farmer
ID39;AG;2014;Barley;Cereals;Conv;388;2.45;85;NA;Farmer
ID30;AG;2013;Barley;Cereals;Conv;429;1.2;73.6;NA;Farmer
ID48;SG;2014;Barley;Cereals;Extenso;403;1.4;60;NA;Farmer
ID18;BE;2012;Barley;Cereals;Conv;577;1.64;NA;NA;Farmer
ID33;AG;2014;Barley;Cereals;Conv;397;1;NA;NA;Farmer
ID33;AG;2015;Barley;Cereals;Conv;397;1;84.3;NA;Farmer
ID1;VD;2015;Barley;Cereals;Conv;594;3;93.3;NA;Farmer
ID41;TG;2012;Barley;Cereals;Conv;486;0.4;NA;NA;Farmer
ID9;FR;2014;Barley;Cereals;Conv;684;0.58;110;NA;Farmer
ID6;VD;2013;Barley;Cereals;Extenso;596;1.3;60;NA;Farmer
ID15;FR;2015;Barley;Cereals;Conv;736;6.4;95;NA;Farmer
ID10;VD;2013;Barley;Cereals;Conv;439;1.5;80;NA;Farmer
ID1;VD;2015;Barley;Cereals;Conv;599;2.4;82.7;NA;Farmer
ID9;FR;2014;Barley;Cereals;Conv;677;0.92;110;NA;Farmer
ID26;LU;2014;Barley;Cereals;Extenso;637;2.11;100;NA;Farmer
ID32;LU;2014;Barley;Cereals;Conv;708;1;104;NA;Farmer
